Ticker,Company_Name,Last_Date,Last_Price,Stage,Signal,Detect_Date,Detect_Price,Note,RSI,Prev_RSI,RSI_Diff,RSI_Drop_Pct,RSI_30_Gap,RSI_20_Gap,RSI_Depth,RSI_Down_Streak,RSI_Rank20,RSI_Zscore20,BB_Days,BB_Close_Ratio,BB_Touch_Ratio,Lower_Shadow_Pct,Volume_Ratio,Exit_Dist_Pct,Upper_Shadow_Pct,Filter_Group_Id,Filter_Target_Index,Filter_Relative_Pos,Group_Id,Buy_Price,Target_Profit
1433.T,BESTERRA CO LTD,2026-06-08,1005.0,3rd_VALLEY,BID,2026-04-13,1051.0,Valley+LowerShadow+VolumeSpike,29.77,32.16,-2.39,-7.44,0.23,9.77,2.39,4.0,5.0,-2.47,2.0,1.0,1.0,2.44,1.45,-4.92,2.24,1,262,0,1,1051.0,0
143A.T,ISHIN CO LTD,2026-06-05,684.0,3rd_VALLEY,BID,2026-02-25,818.0,Valley+LowerShadow+VolumeSpike,25.02,31.17,-6.15,-19.74,4.98,5.02,6.15,1.0,6.2,-0.71,38.0,0.0,0.05,2.76,2.54,-4.38,4.34,4,298,0,4,818.0,0
143A.T,ISHIN CO LTD,2026-06-05,684.0,3rd_VALLEY,BID,2026-03-05,763.0,Valley+LowerShadow+VolumeSpike,29.54,35.33,-5.8,-16.4,0.46,9.54,5.8,3.0,5.0,-2.45,2.0,1.0,1.0,4.09,4.06,-4.38,4.34,5,302,0,5,763.0,0
1444.T,NISSOU CO LTD,2026-06-05,2834.0,3rd_VALLEY,BID,2026-03-18,2682.0,Valley+LowerShadow+VolumeSpike,20.42,47.09,-26.68,-56.65,9.58,0.42,26.68,1.0,5.0,-3.05,2.0,1.0,1.0,2.96,5.41,-3.59,2.14,6,318,0,6,2682.0,1
150A.T,JSH CO LTD,2026-06-08,337.0,3rd_VALLEY,BID,2026-05-14,340.0,Valley+LowerShadow+VolumeSpike,27.97,30.48,-2.51,-8.24,2.03,7.97,2.51,2.0,5.6,-1.28,30.0,0.0,0.0,2.72,2.78,-2.22,2.86,8,410,0,8,340.0,1
1762.T,TAKAMATSU CONSTRUCTION GROUP CO,2026-06-05,3415.0,3rd_VALLEY,BID,2026-04-27,3345.0,Valley+LowerShadow+VolumeSpike,29.47,33.81,-4.33,-12.82,0.53,9.47,4.33,4.0,5.0,-2.13,2.0,1.0,1.0,2.29,1.5,-4.5,3.87,11,578,0,11,3345.0,1
192A.T,INTEGROUP INC,2026-06-08,1350.0,3rd_VALLEY,BID,2026-02-18,1928.0,Valley+LowerShadow+VolumeSpike,29.61,34.88,-5.28,-15.12,0.39,9.61,5.28,2.0,5.0,-2.8,11.0,0.0,0.27,3.88,2.0,12.42,13.43,14,1038,0,14,1928.0,1
2317.T,SYSTENA CORPORATION,2026-06-05,423.0,3rd_VALLEY,BID,2026-05-14,407.0,Valley+LowerShadow+VolumeSpike,29.13,40.76,-11.64,-28.55,0.87,9.13,11.64,1.0,5.0,-2.23,2.0,1.0,1.0,3.04,2.36,-3.79,3.91,28,1838,0,28,407.0,1
2371.T,KAKAKU COM INC,2026-06-05,3336.0,3rd_VALLEY,BID,2026-02-09,1827.0,Valley+LowerShadow+VolumeSpike,28.41,30.15,-1.75,-5.8,1.59,8.41,1.75,4.0,5.0,-2.03,2.0,1.0,1.0,2.3,1.44,5.95,4.03,32,1970,0,32,1827.0,1
2413.T,M3 INC,2026-06-08,1613.5,3rd_VALLEY,BID,2026-02-05,1760.0,Valley+LowerShadow+VolumeSpike,27.79,32.6,-4.81,-14.75,2.21,7.79,4.81,5.0,5.0,-1.43,2.0,0.5,1.0,9.66,4.51,-3.04,2.41,34,2046,0,34,1760.0,0
